"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20181201 ~ 20191130"
"실거래구분 : 분양입주권(매매)"
"주소구분 : 지번주소"
"시도 : 경기도"
"시군구 : 김포시"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","단지명","전용면적(㎡)","거래금액(만원)","층","계약년월","계약일","분/입구분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","74.4083","36,970","4","201903","8","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","74.4083","41,559","20","201903","9","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","59.9538","34,855","10","201903","14","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","99.5753","52,670","22","201903","21","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.969","45,548","11","201903","25","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","74.4083","43,688","14","201903","28","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.9127","43,870","23","201904","15","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.969","44,049","40","201904","27","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.982","48,179","22","201905","1","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.9127","47,570","11","201905","4","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.969","46,220","41","201905","6","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","99.5753","52,126","31","201905","10","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.969","42,685","12","201905","13","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.969","45,820","23","201905","18","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","74.4083","35,810","3","201905","20","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","74.4083","40,990","22","201905","24","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","74.4083","41,470","36","201905","28","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.982","48,823","18","201905","31","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.969","48,078","35","201906","1","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.982","49,380","41","201906","1","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","59.9538","38,971","10","201906","4","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","74.4083","38,510","3","201906","12","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.9127","47,106","7","201906","15","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","59.9538","37,470","30","201906","16","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","59.9538","37,470","30","201906","16","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","74.4083","42,704","39","201906","22","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","74.4083","40,899","11","201906","27","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","74.4083","43,370","13","201907","14","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","74.4083","42,090","26","201907","19","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.9127","48,470","28","201907","26","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","59.9538","35,721","20","201908","16","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","59.9538","40,270","26","201908","17","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","49.4767","22,746","24","201908","17","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.969","47,975","36","201908","24","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","74.4083","44,970","32","201908","25","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.969","47,720","33","201908","27","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","74.4083","41,489","29","201908","28","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.969","44,764","12","201908","29","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.969","45,233","33","201908","31","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.969","48,304","35","201909","2","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.969","47,353","41","201909","3","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.969","47,720","33","201909","3","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","74.4083","45,470","43","201909","5","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","74.4083","45,174","21","201909","8","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","74.4083","45,363","17","201909","21","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.969","49,021","35","201909","24","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.969","45,949","22","201909","25","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","74.4083","44,076","14","201909","25","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.969","45,966","21","201909","27","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","59.9538","41,140","20","201909","28","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","74.4083","44,570","38","201910","1","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.9127","45,459","5","201910","3","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.969","45,853","31","201910","3","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","74.4083","44,774","13","201910","5","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.969","47,110","17","201910","7","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.969","46,395","10","201910","7","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","74.4083","46,665","33","201910","12","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","74.4083","44,890","24","201910","16","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.969","45,515","6","201910","16","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.969","48,720","37","201910","17","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","74.4083","44,190","30","201910","19","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","74.4083","44,875","42","201910","20","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.969","48,064","20","201910","21","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","74.4083","45,670","36","201910","21","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.969","45,910","12","201910","22","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.969","47,820","28","201910","24","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.969","48,270","28","201910","26","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.969","47,964","19","201910","27","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.9127","49,370","22","201910","29","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","74.4083","45,890","29","201911","1","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","74.4083","43,650","7","201911","2","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","74.4083","42,720","14","201911","2","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","74.4083","44,956","24","201911","4","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.969","44,100","19","201911","4","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.969","49,720","35","201911","5","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.9127","50,680","32","201911","6","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.9127","48,120","11","201911","7","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.9127","48,480","39","201911","7","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.9127","52,164","37","201911","9","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.9127","51,472","28","201911","9","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.969","45,757","6","201911","11","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","59.9538","42,470","28","201911","11","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.969","47,748","14","201911","13","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","74.4083","47,970","36","201911","14","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.969","48,733","39","201911","16","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.969","50,450","29","201911","18","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.969","49,220","24","201911","19","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.982","47,150","6","201911","19","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.969","49,492","28","201911","22","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.969","47,910","20","201911","23","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","59.9538","43,710","37","201911","23","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.969","51,421","37","201911","26","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","74.4083","47,970","35","201911","30","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","74.4083","47,590","34","201911","30","분"
"경기도 김포시 걸포동","BL-C-1","한강메트로자이1단지","84.969","42,534","2","201911","30","분"
"경기도 김포시 걸포동","BL-A-1","한강메트로자이2단지","84.9692","43,320","17","201812","3","분"
"경기도 김포시 걸포동","BL-A-1","한강메트로자이2단지","84.9402","39,880","2","201812","7","분"
"경기도 김포시 걸포동","BL-A-1","한강메트로자이2단지","74.9078","39,230","15","201812","11","분"
"경기도 김포시 걸포동","BL-A-1","한강메트로자이2단지","84.9692","42,644","15","201812","12","분"
"경기도 김포시 걸포동","BL-A-1","한강메트로자이2단지","74.9078","40,748","21","201812","18","분"
"경기도 김포시 걸포동","BL-A-1","한강메트로자이2단지","99.779","49,553","15","201812","20","분"
"경기도 김포시 걸포동","BL-A-1","한강메트로자이2단지","74.9078","38,870","8","201901","2","분"
"경기도 김포시 걸포동","BL-A-1","한강메트로자이2단지","59.9496","34,330","9","201901","7","분"
"경기도 김포시 걸포동","BL-A-1","한강메트로자이2단지","74.9078","39,924","9","201901","8","분"
"경기도 김포시 걸포동","BL-A-1","한강메트로자이2단지","84.935","42,900","12","201901","9","분"
"경기도 김포시 걸포동","BL-A-1","한강메트로자이2단지","74.9078","42,279","7","201901","10","분"
"경기도 김포시 걸포동","BL-A-1","한강메트로자이2단지","59.9496","34,740","22","201901","10","분"
"경기도 김포시 걸포동","BL-A-1","한강메트로자이2단지","74.9078","40,244","5","201901","12","분"
"경기도 김포시 걸포동","BL-A-1","한강메트로자이2단지","74.9078","38,303","4","201901","14","분"
"경기도 김포시 걸포동","BL-A-1","한강메트로자이2단지","84.9692","42,240","17","201901","16","분"
"경기도 김포시 걸포동","BL-A-1","한강메트로자이2단지","84.9402","44,004","19","201901","16","분"
